,file_name,description
0,images/Che_ch1_sec1.2.1_fig1.1.png,"Arrangement of particles in solid, liquid and gaseous state"
1,images/Che_ch1_sec1.2.2_fig1.2.png,Classification of matter
2,images/Che_ch1_sec1.2.2_fig1.3.png,A representation of atoms and molecules
3,images/Che_ch1_sec1.2.2_fig1.4.png,A depiction of molecules of water and carbon dioxide
4,images/Che_ch1_sec1.3.5_fig1.5.png,Analytical balance
5,images/Che_ch1_sec1.3.5_fig1.6.png,Different units used to express volume
6,images/Che_ch1_sec1.3.5_fig1.7.png,Some volume measuring devices
7,images/Che_ch1_sec1.3.7_fig1.8.png,Thermometers using different temperature scales
8,images/Che_ch1_sec1.5.5_fig1.9.png,Two volumes of hydrogen react with one volume of oxygen to give two volumes of water vapour
9,images/Che_ch1_sec1.7.4_fig1.10.png,Packing of Na+ and Cl– ions in sodium chloride
10,images/Che_ch1_sec1.9_fig1.11.png,One mole of various substances
11,images/Che_ch2_sec2.1.1_fig2.1(a).png,A cathode ray discharge tube
12,images/Che_ch2_sec2.1.1_fig2.1(b).png,A cathode ray discharge tube with perforated anode
13,images/Che_ch2_sec2.1.3_fig2.2.png,The apparatus to determine the charge to the mass ratio of electron
14,images/Che_ch2_sec2.2_fig2.3.png,"The Millikan oil drop apparatus for measuring charge ‘e’. In chamber, the forces acting on oil drop are: gravitational, electrostatic due to electrical field and a viscous drag force when the oil drop is moving."
15,images/Che_ch2_sec2.2.1_fig2.4.png,Thomson model of atom
16,images/Che_ch2_sec2.2.2_fig2.5.png,"Schematic view of Rutherford’s scattering experiment. When a beam of alpha (?) particles is “shot” at a thin gold foil, most of them pass through without much effect. Some, however, are deflected."
17,images/Che_ch2_sec2.3.1_fig2.6.png,"The electric and magnetic field components of an electromagnetic wave. These components have the same wavelength, frequency, speed and amplitude, but they vibrate in two mutually perpendicular planes."
18,images/Che_ch2_sec2.3.1_fig2.7.png,(a) The spectrum of electromagnetic radiation. (b) Visible spectrum. The visible region is only a small part of the entire spectrum.
19,images/Che_ch2_sec2.3.2_fig2.8(a).png,Black body
20,images/Che_ch2_sec2.3.2_fig2.8.png,Wavelength-intensity relationship
21,images/Che_ch2_sec2.3.2_fig2.9.png,Equipment for studying the photoelectric effect. Light of a particular frequency strikes a clean metal surface inside a vacuum chamber. Electrons are ejected from the metal and are counted by a detector that measures their kinetic energy.
22,images/Che_ch2_sec2.3.3_fig2.10.png,"(a) Atomic emission. The light emitted by a sample of excited hydrogen atoms (or any other element) can be passed through a prism and separated into certain discrete wavelengths. Thus an emission spectrum, which is a photographic recording of the separated wavelengths is called as line spectrum. Any sample of reasonable size contains an enormous number of atoms. Although a single atom can be in only one excited state at a time, the collection of atoms contains all possible excited states. The light emitted as these atoms fall to lower energy states is responsible for the spectrum. (b) Atomic absorption. When white light is passed through unexcited atomic hydrogen and then through a slit and prism, the transmitted light is lacking in intensity at the same wavelengths as are emitted in (a) The recorded absorption spectrum is also a line spectrum and the photographic negative of the emission spectrum."
23,images/Che_ch2_sec2.3.3_fig2.11.png,"Transitions of the electron in the hydrogen atom (The diagram shows the Lyman, Balmer and Paschen series of transitions)"
24,images/Che_ch2_sec2.6.2_fig2.12.png,The plots of (a) the orbital wave function ?(r); (b) the variation of probability density ?2(r) as a function of distance r of the electron from the nucleus for 1s and 2s orbitals.
25,images/Che_ch2_sec2.6.2_fig2.13.png,(a) Probability density plots of 1s and 2s atomic orbitals. The density of the dots represents the probability density of finding the electron in that region. (b) Boundary surface diagram for 1s and 2s orbitals.
26,images/Che_ch2_sec2.6.2_fig2.14.png,Boundary surface diagrams of the three 2p orbitals.
27,images/Che_ch2_sec2.6.2_fig2.15.png,Boundary surface diagrams of the five 3d orbitals.
28,images/Che_ch2_sec2.6.3_fig2.16.png,"Energy level diagrams for the few electronic shells of (a) hydrogen atom and (b) multi-electronic atoms. Note that orbitals for the same value of principal quantum number, have the same energies even for different azimuthal quantum number for hydrogen atom. In case of multi-electron atoms, orbitals with same principal quantum number possess different energies for different azimuthal quantum numbers."
29,images/Che_ch2_sec2.6.4_fig2.17.png,Order of filling of orbitals
30,images/Che_ch2_sec2.6.6_fig2.18.png,Possible exchange for a d5 configuration
31,images/Che_ch3_sec3.2_fig3.1.png,Mendeleev’s Periodic Table published earlier
32,images/Che_ch3_sec3.3_fig3.2.png,"Long form of the Periodic Table of the Elements with their atomic numbers and ground state outer electronic configurations. The groups are numbered 1-18 in accordance with the 1984 IUPAC recommendations. This notation replaces the old numbering scheme of IA–VIIA, VIII, IB–VIIB and 0 for the elements."
33,images/Che_ch3_sec3.6.1_fig3.3.png,The types of elements in the Periodic Table based on the orbitals that are being filled. Also shown is the broad division of elements into METALS
34,images/Che_ch3_sec3.7.1_fig3.4(a).png,Variation of atomic radius with atomic number across the second period
35,images/Che_ch3_sec3.7.1_fig3.4(b).png,Variation of atomic radius with atomic number for alkali metals and halogens
36,images/Che_ch3_sec3.7.1_fig3.5.png,Variation of first ionization enthalpies (?i H) with atomic number for elements with Z = 1 to 60
37,images/Che_ch3_sec3.7.1_fig3.6(a).png,First ionization enthalpies (?i H) of elements of the second period as a function of atomic number (Z) and Fig. 3.6(b) ?i H of alkali metals as a function of Z.
38,images/Che_ch3_sec3.7.1_fig3.7.png,The periodic trends of elements in the periodic table
39,images/Che_ch4_sec4.3.1_fig4.1.png,The bond length in a covalent molecule AB. R = rA + rB (R is the bond length and rA and rB are the covalent radii of atoms A and B respectively)
40,images/Che_ch4_sec4.3.1_fig4.2.png,Covalent and van der Waals radii in a chlorine molecule. The inner circles correspond to the size of the chlorine atom (rvdw and rc are van der Waals and covalent radii respectively).
41,images/Che_ch4_sec4.3.5_fig4.3.png,Resonance in the O3 molecule (structures I and II represent the two canonical forms while the structure III is the resonance hybrid)
42,images/Che_ch4_sec4.3.5_fig4.4.png,"Resonance in CO3 2–, I, II and III represent the three canonical forms."
43,images/Che_ch4_sec4.3.5_fig4.5.png,"Resonance in CO2 molecule, I, II and III represent the three canonical forms."
44,images/Che_ch4_sec4.4_fig4.6.png,The shapes of molecules in which central atom has no lone pair
45,images/Che_ch4_sec4.5_fig4.7.png,Forces of attraction and repulsion during the formation of H2 molecule
46,images/Che_ch4_sec4.5_fig4.8.png,The potential energy curve for the formation of H2 molecule as a function of internuclear distance of the H atoms. The minimum in the curve corresponds to the most stable state of H2.
47,images/Che_ch4_sec4.5.3_fig4.9.png,"Positive, negative and zero overlaps of s and p atomic orbitals"
48,images/Che_ch4_sec4.6.1_fig4.10.png,(a) Formation of sp hybrids from s and p orbitals; (b) Formation of the linear BeCl2 molecule
49,images/Che_ch4_sec4.6.1_fig4.11.png,Formation of sp2 hybrids and the BCl3 molecule
50,images/Che_ch4_sec4.6.1_fig4.12.png,"Formation of sp3 hybrids by the combination of s, px , py and pz atomic orbitals of carbon and the formation of CH4 molecule"
51,images/Che_ch4_sec4.6.1_fig4.13.png,Formation of NH3 molecule
52,images/Che_ch4_sec4.6.1_fig4.14.png,Formation of H2O molecule
53,images/Che_ch4_sec4.6.2_fig4.15.png,Formation of sigma and pi bonds in ethene
54,images/Che_ch4_sec4.6.2_fig4.16.png,Formation of sigma and pi bonds in ethyne
55,images/Che_ch4_sec4.6.3_fig4.17.png,Trigonal bipyramidal geometry of PCl5 molecule
56,images/Che_ch4_sec4.6.3_fig4.18.png,Octahedral geometry of SF6 molecule
57,images/Che_ch4_sec4.7.1_fig4.19.png,Formation of bonding (?) and antibonding (?*) molecular orbitals by the linear combination of atomic orbitals ?A and ?B centered on two atoms A and B respectively.
58,images/Che_ch4_sec4.7.4_fig4.20.png,Contours and energies of bonding and antibonding molecular orbitals formed through combinations of (a) 1s atomic orbitals; (b) 2pz atomic orbitals and (c) 2px atomic orbitals.
59,images/Che_ch4_sec4.8_fig4.21.png,MO occupancy and molecular properties for B2 through Ne2.
