,description,file_name,test_images paths,J2 images
0,"Arrangement of particles in solid, liquid and gaseous state",Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.2.1_fig1.1.png,test_images/fig0.png,J2/fig0.png
1,Classification of matter,Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.2.2_fig1.2.png,test_images/fig1.png,J2/fig1.png
2,A representation of atoms and molecules,Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.2.2_fig1.3.png,test_images/fig2.png,J2/fig2.png
3,A depiction of molecules of water and carbon dioxide,Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.2.2_fig1.4.png,test_images/fig3.png,J2/fig3.png
4,Analytical balance,Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.3.5_fig1.5.png,test_images/fig4.png,J2/fig4.png
5,Different units used to express volume,Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.3.5_fig1.6.png,test_images/fig5.png,J2/fig5.png
6,Some volume measuring devices,Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.3.5_fig1.7.png,test_images/fig6.png,J2/fig6.png
7,Thermometers using different temperature scales,Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.3.7_fig1.8.png,test_images/fig7.png,J2/fig7.png
8,Two volumes of hydrogen react with one volume of oxygen to give two volumes of water vapour,Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.5.5_fig1.9.png,test_images/fig8.png,J2/fig8.png
9,Packing of Na+ and Cl– ions in sodium chloride,Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.7.4_fig1.10.png,test_images/fig9.png,J2/fig9.png
10,One mole of various substances,Class 11_Chemistry_Part 1_English lang/images/Che_ch1_sec1.9_fig1.11.png,test_images/fig10.png,J2/fig10.png
11,A cathode ray discharge tube,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.1.1_fig2.1(a).png,test_images/fig11.png,J2/fig11.png
12,A cathode ray discharge tube with perforated anode,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.1.1_fig2.1(b).png,test_images/fig12.png,J2/fig12.png
13,The apparatus to determine the charge to the mass ratio of electron,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.1.3_fig2.2.png,test_images/fig13.png,J2/fig13.png
14,"The Millikan oil drop apparatus for measuring charge ‘e’. In chamber, the forces acting on oil drop are: gravitational, electrostatic due to electrical field and a viscous drag force when the oil drop is moving.",Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.2_fig2.3.png,test_images/fig14.png,J2/fig14.png
15,Thomson model of atom,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.2.1_fig2.4.png,test_images/fig15.png,J2/fig15.png
16,"Schematic view of Rutherford’s scattering experiment. When a beam of alpha (?) particles is “shot” at a thin gold foil, most of them pass through without much effect. Some, however, are deflected.",Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.2.2_fig2.5.png,test_images/fig16.png,J2/fig16.png
17,"The electric and magnetic field components of an electromagnetic wave. These components have the same wavelength, frequency, speed and amplitude, but they vibrate in two mutually perpendicular planes.",Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.3.1_fig2.6.png,test_images/fig17.png,J2/fig17.png
18,(a) The spectrum of electromagnetic radiation. (b) Visible spectrum. The visible region is only a small part of the entire spectrum.,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.3.1_fig2.7.png,test_images/fig18.png,J2/fig18.png
19,Black body,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.3.2_fig2.8(a).png,test_images/fig19.png,J2/fig19.png
20,Wavelength-intensity relationship,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.3.2_fig2.8.png,test_images/fig20.png,J2/fig20.png
21,Equipment for studying the photoelectric effect. Light of a particular frequency strikes a clean metal surface inside a vacuum chamber. Electrons are ejected from the metal and are counted by a detector that measures their kinetic energy.,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.3.2_fig2.9.png,test_images/fig21.png,J2/fig21.png
22,"(a) Atomic emission. The light emitted by a sample of excited hydrogen atoms (or any other element) can be passed through a prism and separated into certain discrete wavelengths. Thus an emission spectrum, which is a photographic recording of the separated wavelengths is called as line spectrum. Any sample of reasonable size contains an enormous number of atoms. Although a single atom can be in only one excited state at a time, the collection of atoms contains all possible excited states. The light emitted as these atoms fall to lower energy states is responsible for the spectrum. (b) Atomic absorption. When white light is passed through unexcited atomic hydrogen and then through a slit and prism, the transmitted light is lacking in intensity at the same wavelengths as are emitted in (a) The recorded absorption spectrum is also a line spectrum and the photographic negative of the emission spectrum.",Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.3.3_fig2.10.png,test_images/fig22.png,J2/fig22.png
23,"Transitions of the electron in the hydrogen atom (The diagram shows the Lyman, Balmer and Paschen series of transitions)",Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.3.3_fig2.11.png,test_images/fig23.png,J2/fig23.png
24,The plots of (a) the orbital wave function ?(r); (b) the variation of probability density ?2(r) as a function of distance r of the electron from the nucleus for 1s and 2s orbitals.,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.6.2_fig2.12.png,test_images/fig24.png,J2/fig24.png
25,(a) Probability density plots of 1s and 2s atomic orbitals. The density of the dots represents the probability density of finding the electron in that region. (b) Boundary surface diagram for 1s and 2s orbitals.,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.6.2_fig2.13.png,test_images/fig25.png,J2/fig25.png
26,Boundary surface diagrams of the three 2p orbitals.,Class 11_Chemistry_Part 1_English lang/images/Che_ch2_sec2.6.2_fig2.14.png,test_images/fig26.png,J2/fig26.png
